video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,subscriber conversion,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,average_percentage_viewed,,watch_time_hours
Interracial Couple Secretly Shares About Their 37-Year Marriage,6ql6lz1f_tQ,Both Sides,6.43,2/1/2018,"1,051,545","8,913",117.98,0.8476%,3.7,3933860,58.15%,2394,15393,15.55,15.55%,9764,638270,1.53,1.53%,642324,10495,1.63,1.63%,495247,606893,2246,18,292672,0.01,0,0,0,292672,45912,46872,960,233,473,240,9547,1552,20238,32370,12132,58.15,,65564
Couple Secretly Shares Both Sides Of Their Love Story,XIHblrUk030,Both Sides,8.33,2/7/2018,"230,393","1,618",142.39,0.7023%,4.7,1085833,56.56%,14,981,1.43,1.43%,879,99338,0.88,0.88%,132550,3329,2.51,2.51%,142640,158182,714,4,73639,0.01,0,0,0,73639,5212,5331,119,84,126,42,726,202,1340,3385,2045,56.56,,18097
Dropouts And Graduates: Is College Worth It?,ecgcL4Cu75I,Middle Ground,8.72,2/13/2018,"2,001,864","20,492",97.69,1.0236%,5,10056896,57.63%,9315,54179,17.19,17.19%,35298,1479219,2.39,2.39%,863212,19210,2.23,2.23%,1296308,1456135,6555,57,616274,0.01,0,0,0,616274,55543,57071,1528,642,1092,450,4950,3206,32039,57429,25390,57.63,,167615
What It Takes To Become The World's Best Whistler,KCzyQ2Rfj1c,Whistle Doc,14.45,2/15/2018,"1,768,929","6,235",283.71,0.3525%,5.4,9540560,37.32%,9,56,16.07,16.07%,26,17811,0.15,0.15%,270634,3718,1.37,1.37%,0,0,9954,85,481104,0.02,0,0,0,481104,49846,51008,1162,1017,1537,520,13766,2774,22834,33882,11048,37.32,,159009
Pro-Gun Vs. Anti-Gun: Is There Middle Ground?,3svs-nHtlNg,Middle Ground,10.2,2/21/2018,"2,025,474","22,160",91.40,1.0941%,5.9,11976388,57.97%,12503,60427,20.69,20.69%,39428,1379224,2.86,2.86%,656855,11224,1.71,1.71%,566324,660801,9234,47,590316,0.01,0,0,0,590316,49047,50868,1821,2611,3263,652,6975,9895,27108,51212,24104,57.97,,199606
Can Strangers Love Each Other In 36 Questions?,4_W_ev9EBLM,Tea with Strangers,8.4,2/22/2018,"227,533","1,645",138.32,0.7230%,4.8,1101465,57.63%,3,17,17.65,17.65%,16,4316,0.37,0.37%,130773,7648,5.85,5.85%,142976,161675,517,5,71533,0.01,0,0,0,71533,10273,10555,282,62,115,53,604,220,6466,11975,5509,57.63,,18358
3 Buff Men Share Their Feelings With Each Other,lavllxWY7QM,Tea with Strangers,13.03,2/27/2018,"363,619","3,558",102.20,0.9785%,6.7,2445310,51.60%,6,25,24,24.00%,24,5607,0.43,0.43%,197448,8179,4.14,4.14%,213709,235553,1534,11,133831,0.01,0,0,0,133831,17099,17516,417,90,180,90,1999,689,6955,12034,5079,51.6,,40755
Can Trump Supporters And Immigrants See Eye To Eye?,G0SpzIIHEaE,Middle Ground,15.77,3/3/2018,"4,246,754","53,161",79.88,1.2518%,7.8,33019845,49.31%,1786,36262,4.93,4.93%,26570,1260701,2.11,2.11%,1227578,23592,1.92,1.92%,1868491,2239426,18746,115,1141135,0.01,0,0,0,1141135,115805,121572,5767,5615,7601,1986,25877,28651,71575,115867,44292,49.31,,550331
Strangers Answer 36 Questions That Lead To Love,e8M7kKknyxU,Tea with Strangers,9.27,3/8/2018,"326,508","2,923",111.70,0.8952%,5.2,1712679,56.61%,3759,14859,25.3,25.30%,9647,304909,3.16,3.16%,334706,10657,3.18,3.18%,213227,238924,883,7,112625,0.01,0,0,0,112625,13204,13550,346,60,118,58,837,388,5509,10732,5223,56.61,,28545
Vegans Vs. Meat Eaters: What Is The Right Diet?,JUnWk4s4_js,Middle Ground,10.62,3/10/2018,"2,010,101","19,307",104.11,0.9605%,6.3,12627221,59.17%,20447,86669,23.59,23.59%,53488,1816911,2.94,2.94%,911042,13579,1.49,1.49%,759402,945540,7973,50,555345,0.01,0,0,0,555345,51630,53728,2098,3256,3986,730,10576,19190,21520,44450,22930,59.17,,210454
Liberal vs Conservative: 24 Hours Side By Side,Po6arNswfn8,Side by Side,5.02,3/15/2018,"1,022,671","4,006",255.28,0.3917%,3,3091947,60.27%,0,21,0,0.00%,18,8217,0.22,0.22%,972988,19831,2.04,2.04%,376037,399585,3055,40,204779,0.02,0,0,0,204779,18315,19432,1117,2537,2884,347,3805,7792,12831,23613,10782,60.27,,51532
Model And Makeup Artist Open Up About Their Friendship,j6qpA8YoQi8,Candid Confession,9.38,3/16/2018,"101,823",254,400.88,0.2495%,3.7,372127,38.95%,517,1729,29.9,29.90%,966,53879,1.79,1.79%,54224,877,1.62,1.62%,54121,64084,208,2,31793,0.01,0,0,0,31793,2183,2246,63,32,43,11,46,59,1087,3180,2093,38.95,,6202
Getting Deep AF With Strangers,h6-sDd_XdeU,DAQ,5.65,3/21/2018,"76,697",535,143.36,0.6976%,3.6,275433,63.56%,0,6,0,0.00%,6,1725,0.35,0.35%,90004,1312,1.46,1.46%,0,0,152,2,23999,0.01,0,0,0,23999,4885,5025,140,42,63,21,255,223,1564,3742,2178,63.56,,4591
Atheist vs Christian: 24 Hours Side By Side,BORnQCvXJto,Side by Side,5.02,3/22/2018,"421,943","2,281",184.98,0.5406%,2.6,1104141,52.16%,2,20,10,10.00%,12,4124,0.29,0.29%,338084,12318,3.64,3.64%,187328,210163,823,7,99648,0.01,0,0,0,99648,9280,9660,380,370,481,111,802,1989,5788,11907,6119,52.16,,18402
Rapper Best Friends Play Honest Game of Never Have I Ever,dpUEnrhzIZQ,Candid Confession,9.27,3/24/2018,"225,271",792,284.43,0.3516%,4.6,1037311,49.69%,9603,10378,92.53,92.53%,11077,131616,8.42,8.42%,125212,1403,1.12,1.12%,98139,121891,561,2,61894,0,0,0,0,61894,8827,9081,254,67,125,58,607,324,2823,5670,2847,49.69,,17289
Strangers Getting Deep AF About Love,iYisSnLRX2A,DAQ,5.3,3/27/2018,"67,739",302,224.30,0.4458%,3.6,246899,68.77%,0,1,0,0.00%,1,1585,0.06,0.06%,99733,3756,3.77,3.77%,26003,33586,122,2,21942,0.01,0,0,0,21942,3240,3324,84,74,100,26,157,116,1429,3473,2044,68.77,,4115
College Students Play Never Have I Ever on a Blind Date,-sawOTDR5C4,Candid Confession,8.65,3/29/2018,"1,845,821","9,674",190.80,0.5241%,4.9,9052829,56.70%,65,255,25.49,25.49%,210,32300,0.65,0.65%,1700518,45543,2.68,2.68%,1042960,1266803,2954,57,698439,0.01,0,0,0,698439,32642,33596,954,624,984,360,1711,1097,12579,27627,15048,56.7,,150880
Pole Dancer and Violinist Collide Worlds To Collaborate,t2lFdE0J37o,Between Worlds,8.15,4/1/2018,"219,656","3,061",71.76,1.3935%,4.4,975414,54.49%,4,11,36.36,36.36%,12,2897,0.41,0.41%,173016,3330,1.92,1.92%,69750,67384,621,8,40262,0.02,0,0,0,40262,17091,17373,282,64,132,68,1874,521,6236,10230,3994,54.49,,16257
Trump Supporter vs Immigrant: 24 Hours Side By Side,U-8nTabnSpc,Middle Ground,6.47,4/4/2018,"139,422",670,208.09,0.4806%,3,418115,46.38%,1,7,14.29,14.29%,6,1345,0.45,0.45%,81017,1665,2.06,2.06%,61517,72063,337,7,39627,0.02,0,0,0,39627,3625,3762,137,217,264,47,332,895,1744,4168,2424,46.38,,6969
Veterans Reveal Their Most Difficult Experiences,QAIHQSDPB8s,Time Capsule,5.02,4/5/2018,"202,018",789,256.04,0.3906%,2.9,594257,58.64%,7,15,46.67,46.67%,11,3094,0.36,0.36%,136598,1799,1.32,1.32%,93036,104443,458,4,73490,0.01,0,0,0,73490,5488,5626,138,103,154,51,446,291,3379,6276,2897,58.64,,9904
Strangers Connect Over Past Eating Disorder Struggles,bfPn15IEP3I,Candid Confession,8,4/7/2018,"437,193","2,292",190.75,0.5243%,3.8,1664944,47.60%,13,51,25.49,25.49%,40,6371,0.63,0.63%,128106,1507,1.18,1.18%,187061,187704,750,9,136217,0.01,0,0,0,136217,11848,12165,317,280,383,103,258,306,7197,15063,7866,47.6,,27749
Hip Hop Producer & Opera Singer: 3 Hours to Make a Hit,OWL7Rj2-Ync,Between Worlds,8.48,4/11/2018,"323,804","6,171",52.47,1.9058%,4.7,1515120,55.16%,1,19,5.26,5.26%,16,4244,0.38,0.38%,321116,3177,0.99,0.99%,137102,155866,949,10,69230,0.01,0,0,0,69230,19467,19831,364,108,219,111,1590,667,6704,11003,4299,55.16,,25252
Graduates Reveal Fears Of Entering The Real World,Mco3zKzm_6Y,Time Capsule,4.48,4/12/2018,"45,743",162,282.36,0.3542%,2.3,107018,52.18%,0,4,0,0.00%,4,1020,0.39,0.39%,33963,612,1.8,1.80%,23249,27544,59,4,18950,0.02,0,0,0,18950,2055,2107,52,25,33,8,192,103,1148,2307,1159,52.18,,1784
Strangers Get Deep On Awkward Blind Date,U7bjaEYWz4A,Candid Confession,8.73,4/15/2018,"256,524",709,361.81,0.2764%,4.7,1211724,54.09%,0,19,0,0.00%,12,4192,0.29,0.29%,241006,7381,3.06,3.06%,143229,162300,586,3,85148,0,0,0,0,85148,4440,4615,175,186,256,70,248,393,1718,4685,2967,54.09,,20195
Two Artists Fuse Styles On One Canvas,Rx0Scm7QTXY,Between Worlds,8.22,4/18/2018,"1,642,298","24,277",67.65,1.4782%,4.5,7423099,55.01%,5300,22385,23.68,23.68%,19999,571679,3.5,3.50%,1783357,47518,2.66,2.66%,1096531,1058421,3812,80,198096,0.04,0,0,0,198096,76900,78469,1569,747,1264,517,11978,1491,46729,67201,20472,55.01,,123718
Can You Be In Love With Multiple People?,IAE8uQUU4Pw,Middle Ground,20.87,4/22/2018,"1,900,437","20,672",91.93,1.0877%,9.5,18091200,45.62%,181,8914,2.03,2.03%,5728,429949,1.33,1.33%,1107588,23136,2.09,2.09%,1018781,1072145,10597,38,573092,0.01,0,0,0,573092,61791,63868,2077,1022,1696,674,18529,5149,46883,79366,32483,45.62,,301520
Seniors Reveal Their Most Difficult Life Lessons,Sbw8AFibZPU,Time Capsule,3.9,4/26/2018,"72,536",327,221.82,0.4508%,2.3,167302,59.14%,5,9,55.56,55.56%,7,1724,0.41,0.41%,68719,2174,3.16,3.16%,41238,45275,94,1,26835,0,0,0,0,26835,3968,4047,79,29,43,14,339,101,2490,4594,2104,59.14,,2788
"Sudarso Brothers Open Up About Girls, Jealousy, & Purpose",gQB_p5V9bYY,Candid Confession,8.72,4/27/2018,"288,182","1,400",205.84,0.4858%,4.7,1360009,54.14%,11,31,35.48,35.48%,24,4330,0.55,0.55%,162959,1945,1.19,1.19%,149511,162808,591,9,77879,0.01,0,0,0,77879,13097,13420,323,49,116,67,810,369,4755,9334,4579,54.14,,22667
Can Feminists and Non-Feminists Agree On Gender Equality?,E37swnRU2fs,Middle Ground,14.78,5/5/2018,"2,582,946","25,374",101.79,0.9824%,7.4,18987985,49.73%,9,183,4.92,4.92%,110,27130,0.41,0.41%,1116061,13927,1.25,1.25%,653141,565975,11215,68,725482,0.01,0,0,0,725482,80148,83340,3192,3678,5063,1385,12377,13244,46858,83411,36553,49.73,,316466
Jeremy Lin: The Failure That Pushed Me To Greatness,68His9iFV7E,Best Failure Ever,2.72,5/9/2018,"92,791",403,230.25,0.4343%,1.7,160185,63.54%,3,8,37.5,37.50%,6,3081,0.19,0.19%,0,0,0,0.00%,54207,62221,95,5,33924,0.01,0,0,0,33924,2485,2543,58,45,60,15,192,100,1657,3114,1457,63.54,,2670
Can 2 Strangers Fall in Love with 36 Questions? Russell + Kera,GeSzLqqyNgs,Tea for Two,9.08,5/11/2018,"3,722,186","53,232",69.92,1.4301%,5.6,20900099,61.82%,58,305,19.02,19.02%,224,65426,0.34,0.34%,2936239,72054,2.45,2.45%,2460945,2686806,6439,80,713661,0.01,0,0,0,713661,175087,179829,4742,809,1947,1138,32833,5938,120769,173509,52740,61.82,,348335
Can Black Lives Matter & Law Enforcement See Eye To Eye?,S6rDvbQ-mz4,Middle Ground,15.13,5/15/2018,"1,399,201","10,811",129.42,0.7727%,8.4,11703392,55.27%,14,114,12.28,12.28%,64,16396,0.39,0.39%,419993,6168,1.47,1.47%,515749,514894,9384,41,366960,0.01,0,0,0,366960,45071,46608,1537,1258,1861,603,6043,6789,23974,42027,18053,55.27,,195057
Can 2 Strangers Fall in Love with 36 Questions? Paulo + Karis,LGm5tysm2Zk,Tea for Two,10.47,5/19/2018,"1,153,811","13,059",88.35,1.1318%,5.6,6500751,53.83%,8,76,10.53,10.53%,74,21606,0.34,0.34%,347883,3118,0.9,0.90%,694363,787935,3077,37,295993,0.01,0,0,0,295993,33433,34345,912,270,510,240,5473,2028,14774,25411,10637,53.83,,108346
Millennials and Baby Boomers Seek To Understand Each Other,D1eB--DsKfI,Middle Ground,12.35,5/24/2018,"817,465","3,853",212.16,0.4713%,7.2,5848956,57.94%,13,83,15.66,15.66%,60,12724,0.47,0.47%,609769,11116,1.82,1.82%,499356,570562,5007,20,237296,0.01,0,0,0,237296,21469,22056,587,371,569,198,2606,1896,13166,27615,14449,57.94,,97483
Can 2 Strangers Fall in Love with 36 Questions? Kellyann + Audrey,y6bd7jmcZ7Q,Tea for Two,8.35,5/30/2018,"575,407","3,384",170.04,0.5881%,4.3,2489897,51.82%,27,80,33.75,33.75%,72,9225,0.78,0.78%,526268,9675,1.84,1.84%,332728,385613,1039,12,150291,0.01,0,0,0,150291,13431,13836,405,277,376,99,921,354,9449,18383,8934,51.82,,41498
Building an Amazing Team One Second Per Day,2RJ28N0wRP4,Jubilee Journals,4.62,6/2/2018,"92,544",474,195.24,0.5122%,1,87980,20.59%,0,2,0,0.00%,1,520,0.19,0.19%,13332,96,0.72,0.72%,0,0,47,6,64360,0.01,0,0,0,64360,1120,1375,255,98,204,106,97,97,538,1076,538,20.59,,1466
20 vs 1: Speed Dating 20 Guys | Jubilee x Solfa,zlLH_ph74Es,20 vs 1,5.75,6/4/2018,"6,150,972","25,623",240.06,0.4166%,3.6,22382650,63.28%,18,181,9.94,9.94%,146,74884,0.19,0.19%,3175549,94272,2.97,2.97%,2215516,2693464,8111,161,978977,0.02,0,0,0,978977,85911,89902,3991,8778,10463,1685,17075,10378,36119,67224,31105,63.28,,373044
Can 2 Strangers Fall in Love With 36 Questions? James + Sonja,8yXG9qD5AZw,Tea for Two,11.98,6/7/2018,"1,318,368","7,861",167.71,0.5963%,6.1,8091396,51.22%,4,88,4.55,4.55%,53,20442,0.26,0.26%,933734,17808,1.91,1.91%,777016,867874,4159,58,341273,0.02,0,0,0,341273,27607,28431,824,360,638,278,2705,1367,14044,26341,12297,51.22,,134857
20 vs 1: Speed Dating 20 Girls | Jubilee x Solfa,Un0m8Xjy9vk,20 vs 1,7.07,6/14/2018,"5,694,667","28,645",198.80,0.5030%,4.7,26669670,66.27%,4,157,2.55,2.55%,114,72068,0.16,0.16%,5721088,244079,4.27,4.27%,3147814,3476342,10183,321,964035,0.03,0,0,0,964035,88360,91724,3364,2729,4085,1356,8540,5618,29988,59641,29653,66.27,,444494
Can 2 Strangers Fall in Love with 36 Questions? Claudio + Victoria,l5Oi-I-O2_4,Tea for Two,9.42,6/19/2018,"3,207,138","22,386",143.27,0.6980%,5.3,17042296,56.43%,16,168,9.52,9.52%,114,49678,0.23,0.23%,1774646,30669,1.73,1.73%,974675,1170423,11809,113,609212,0.02,0,0,0,609212,55455,57787,2332,1941,2610,669,6695,3616,71744,107436,35692,56.43,,284038
Teens Try To Resist Their Phones For 20 Minutes,TSL9GB1trRk,Phones Down,5.1,6/21/2018,"3,444,681","14,430",238.72,0.4189%,2.9,10097758,57.48%,44,179,24.58,24.58%,160,20511,0.78,0.78%,4021950,67895,1.69,1.69%,2045590,2242490,4242,87,464905,0.02,0,0,0,464905,77833,80720,2887,5636,6680,1044,5595,17946,41206,77216,36010,57.48,,168296
Phones Down: 20 Minute Challenge | Zarvon,vUdcjvVbsqo,Phones Down,6.95,6/22/2018,"351,703","1,372",256.34,0.3901%,2.3,799999,32.73%,11,24,45.83,45.83%,23,2152,1.07,1.07%,270993,5891,2.17,2.17%,225401,243407,425,22,62679,0.04,0,0,0,62679,7199,7462,263,305,408,103,324,905,2403,5280,2877,32.73,,13333
"Earning $11,000 vs. $60 in a Day",DZwPsYu8_1I,Bottom Line,12.05,6/27/2018,"5,071,854","40,625",124.85,0.8010%,6.4,32440153,53.08%,2029,28355,7.16,7.16%,27412,1015234,2.7,2.70%,3407695,22855,0.67,0.67%,4202835,4631321,22895,396,1750098,0.02,0,0,0,1750098,113143,117116,3973,3926,5531,1605,33593,8513,81839,110719,28880,53.08,,540669
Phones Down: 20 Minute Challenge | Kayciblu,6Bz3vcx3oPw,Phones Down,4.93,6/28/2018,"108,257",381,284.14,0.3519%,2.4,257239,48.17%,5,18,27.78,27.78%,14,1112,1.26,1.26%,105668,1914,1.81,1.81%,64295,70321,150,5,26460,0.02,0,0,0,26460,2497,2586,89,181,199,18,134,292,933,2290,1357,48.17,,4287
Strangers Read Racist Comments To Each Other,f1dMxRGVGz8,Mean Comments,5.57,6/28/2018,"354,129",992,356.98,0.2801%,3.7,1299922,65.94%,9,29,31.03,31.03%,22,5495,0.4,0.40%,231839,2899,1.25,1.25%,56885,56201,748,6,93761,0.01,0,0,0,93761,13096,13422,326,193,290,97,471,916,5865,12489,6624,65.94,,21665
Can 2 Strangers Fall in Love with 36 Questions? Mikey + Jaylee,HJZv4RWVF9M,Tea for Two,9.52,7/5/2018,"999,048","6,772",147.53,0.6778%,5.4,5423387,57.04%,8,68,11.76,11.76%,51,18568,0.27,0.27%,307815,4529,1.47,1.47%,682724,761209,2437,31,251695,0.01,0,0,0,251695,25313,25942,629,221,449,228,1970,828,13408,24885,11477,57.04,,90390
Earning $400 vs Losing $250 in a Day,mDfS9cFNoDo,Bottom Line,11.05,7/11/2018,"788,576","8,959",88.02,1.1361%,5.9,4652719,53.40%,18,76,23.68,23.68%,61,13194,0.46,0.46%,571932,11186,1.96,1.96%,606994,674213,3639,68,301448,0.02,0,0,0,301448,13509,13975,466,850,1061,211,1327,1176,6308,11024,4716,53.4,,77545
Strangers Play Monopoly with Real Money,X5TnZYOrY7Y,Real Monopoly,14.22,7/13/2018,"1,443,407","6,598",218.76,0.4571%,7.3,10547711,51.40%,18,116,15.52,15.52%,75,23485,0.32,0.32%,925620,15760,1.7,1.70%,840998,947751,8429,50,416554,0.01,0,0,0,416554,31761,32828,1067,1593,1985,392,2907,2161,21581,36559,14978,51.4,,175795
Vegans And Meat Eaters Read Mean Comments Together,dxMbga0ILY0,Mean Comments,4.75,7/15/2018,"192,568",458,420.45,0.2378%,3.2,607794,66.45%,2,22,9.09,9.09%,18,3371,0.53,0.53%,176355,3265,1.85,1.85%,103244,117388,369,2,48063,0,0,0,0,48063,6022,6181,159,167,212,45,322,679,2817,7308,4491,66.45,,10130
People Read Strangers' Darkest Secrets,dRIg2mgHkew,Seeking Secrets,4.43,7/18/2018,"2,520,832","34,654",72.74,1.3747%,2.8,7033357,62.93%,51,115,44.35,44.35%,90,27663,0.33,0.33%,360912,4841,1.34,1.34%,0,0,3106,28,527789,0.01,0,0,0,527789,89167,91862,2695,827,1588,761,6670,2629,56590,88495,31905,62.93,,117223
"Jews, Muslims, and Christians Read Mean Comments to Each Other",jlNBRcNwy3E,Mean Comments,4.57,7/19/2018,"354,284",866,409.10,0.2444%,3.1,1114360,68.88%,8,25,32,32.00%,19,4438,0.43,0.43%,239601,4575,1.91,1.91%,120555,119598,586,0,64466,0,0,0,0,64466,12535,12900,365,299,429,130,417,1072,7998,15167,7169,68.88,,18573
Strangers Play Monopoly with Real Money,r8tHeMHmkPY,Real Monopoly,9.93,7/21/2018,"269,104","1,296",207.64,0.4816%,5.7,1524547,57.03%,13,34,38.24,38.24%,32,5213,0.61,0.61%,203443,4383,2.15,2.15%,165710,182136,1250,9,91595,0.01,0,0,0,91595,7280,7472,192,125,176,51,502,432,3809,8036,4227,57.03,,25409
Can 2 Strangers Fall in Love with 36 Questions? Joey + Amy,QsA3lESL0gI,Tea for Two,8.13,7/24/2018,"1,156,934","5,925",195.26,0.5121%,4.5,5170071,54.94%,10,83,12.05,12.05%,53,19915,0.27,0.27%,543714,7006,1.29,1.29%,727766,818955,1924,20,265825,0.01,0,0,0,265825,31649,32410,761,303,546,243,2049,1035,24146,42742,18596,54.94,,86168
Can LGBTQ+ and Christians See Eye To Eye?,f5jwTft6654,Middle Ground,15.07,7/25/2018,"2,525,214","21,495",117.48,0.8512%,7,17581081,46.21%,15,181,8.29,8.29%,126,19917,0.63,0.63%,649660,9915,1.53,1.53%,488909,484019,11858,71,640462,0.01,0,0,0,640462,86295,89174,2879,2679,3655,976,9897,10719,85468,136118,50650,46.21,,293018
People Read Strangersâ€™ Worst Heartbreaks,AqCCkgwkBHk,Seeking Secrets,3.85,7/31/2018,"2,125,309","22,867",92.94,1.0759%,2.8,5993628,73.25%,35,142,24.65,24.65%,128,31229,0.41,0.41%,2131153,77360,3.63,3.63%,1058148,1212791,2594,14,412027,0,0,0,0,412027,72791,74583,1792,375,906,531,6218,2041,60906,91380,30474,73.25,,99894
Can Body Positive & Fitness Enthusiasts Find Middle Ground?,eVZJFULZVfA,Middle Ground,9.77,8/2/2018,"1,051,681","5,692",184.76,0.5412%,6.2,6565865,63.92%,14,82,17.07,17.07%,66,17210,0.38,0.38%,421587,6018,1.43,1.43%,522000,602261,4738,17,257999,0.01,0,0,0,257999,31169,32015,846,1385,1685,300,2809,3749,23097,41811,18714,63.92,,109431
Can 2 Strangers Fall in Love with 36 Questions? David + Nicole,Jn32WTzOrUA,Tea for Two,8.73,8/8/2018,"596,711","2,940",202.96,0.4927%,4.7,2813569,53.99%,7,55,12.73,12.73%,38,10069,0.38,0.38%,318471,5166,1.62,1.62%,406303,461361,1231,18,142358,0.01,0,0,0,142358,12464,12918,454,341,470,129,1334,1039,13449,22365,8916,53.99,,46893
People Read Strangers' Biggest Insecurities,sxL-_Ktd1JA,Seeking Secrets,3.95,8/10/2018,"513,426","3,371",152.31,0.6566%,2.5,1303657,64.28%,2,12,16.67,16.67%,9,6770,0.13,0.13%,433854,17900,4.13,4.13%,233556,260425,596,7,121367,0.01,0,0,0,121367,17474,17830,356,128,250,122,857,746,9097,17651,8554,64.28,,21728
Can Sex Workers and Pastors Find Middle Ground?,PLbo3m4rVQQ,Middle Ground,16.12,8/15/2018,"681,374","2,927",232.79,0.4296%,8.5,5810861,52.92%,11,69,15.94,15.94%,43,10545,0.41,0.41%,322270,8825,2.74,2.74%,21599,25063,4127,15,170890,0.01,0,0,0,170890,24686,25494,808,599,873,274,2978,2697,20199,33888,13689,52.92,,96848
Classical Quartet and Mariachi Band Fuse Styles Into One Song,5nTIa_nhtV8,Between Worlds,10.3,8/17/2018,"283,636","2,065",137.35,0.7280%,5.2,1467866,50.24%,5,22,22.73,22.73%,19,3871,0.49,0.49%,0,0,0,0.00%,211815,220279,1342,7,35655,0.02,0,0,0,35655,20065,20385,320,302,409,107,5302,927,11658,16115,4457,50.24,,24464
People Read Strangers' Suicidal Thoughts,W6T9GA4lyBg,Seeking Secrets,3.73,8/21/2018,"899,875","7,770",115.81,0.8635%,2.4,2192642,65.27%,11,52,21.15,21.15%,45,15781,0.29,0.29%,1117795,28221,2.52,2.52%,0,0,1072,10,167875,0.01,0,0,0,167875,40653,41526,873,181,396,215,2754,1297,38953,57782,18829,65.27,,36544
50 Babies: From Birth to First Steps,6fSK6Yvd060,Project Humanity,3.35,8/24/2018,"60,170",158,380.82,0.2626%,2.1,125246,62.14%,0,3,0,0.00%,4,1501,0.27,0.27%,39045,892,2.28,2.28%,0,0,77,4,16608,0.02,0,0,0,16608,5141,5201,60,15,40,25,690,195,2217,4190,1973,62.14,,2087
20 vs 1: Speed Dating 20 Guys | Jubilee x Solfa,L3VOCyYeK4s,20 vs 1,7.5,8/29/2018,"1,399,048","4,542",308.02,0.3246%,5.1,7137629,68.02%,1,51,1.96,1.96%,21,30745,0.07,0.07%,770879,12923,1.68,1.68%,741061,860742,2855,58,297290,0.02,0,0,0,297290,24871,26536,1665,7896,8406,510,2532,4566,14474,29469,14995,68.02,,118960
