video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,subscriber conversion,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,average_percentage_viewed,,watch_time_hours
People Read The Most Hurtful Words Strangers Have Ever Received,AQJiXSgDU8I,Seeking Secrets,3.38,7/20/2017,"1,898,387","9,092",208.80,0.4789%,2.2,4218465,65.68%,534,40467,1.32,1.32%,39991,1359907,2.94,2.94%,1630594,115591,7.09,7.09%,663778,803052,1824,19,463876,0,144,0,0,463876,39757,40913,1156,217,553,336,1376,2045,11601,26019,14418,65.68,,70308
Peter & Bethany Secretly Share Both Sides Of Their Love Story,nzMZNZCmCUg,Both Sides,7.65,7/25/2017,"1,483,482","5,102",290.76,0.3439%,4.7,6917047,60.95%,588,15258,3.85,3.85%,15152,821340,1.84,1.84%,1828449,48436,2.65,2.65%,689667,811526,2528,56,467562,0.01,401,0,0,467562,63149,64906,1757,170,485,315,21408,1720,18640,30863,12223,60.95,,115284
Divorced Couple Shares Each Side Of Their Love Story,UsDiywh3tsE,Both Sides,9.65,8/8/2017,"1,216,117","4,804",253.15,0.3950%,5.5,6658792,56.74%,106,7275,1.46,1.46%,6999,707379,0.99,0.99%,673383,12688,1.88,1.88%,765982,858608,3729,30,377707,0.01,547,0,0,377707,14978,15442,464,312,482,170,3548,850,13183,24859,11676,56.74,,110980
People Tell Their First Kiss Stories,yoosmJOYqw8,Firsts,3.47,8/11/2017,"171,353",270,634.64,0.1576%,2.2,379000,63.80%,4,19,21.05,21.05%,16,3024,0.53,0.53%,99566,1207,1.21,1.21%,43124,55256,135,2,46419,0,43,0,0,46419,2693,2785,92,30,51,21,125,111,986,3093,2107,63.8,,6317
Couple Passionately Shares Both Sides Of Their Love Story,66VQu9NIhZ4,Both Sides,7.32,8/15/2017,"457,466",857,533.80,0.1873%,3.8,1757239,52.50%,63,3152,2,2.00%,3108,225955,1.38,1.38%,263042,6848,2.6,2.60%,208922,248594,878,8,168190,0,339,0,0,168190,7217,7406,189,99,158,59,799,230,2207,5545,3338,52.5,,29287
People Relive Losing Their Virginities,o3W-ShFF0qI,Firsts,3.72,8/18/2017,"855,600",704,"1,215.34",0.0823%,2.4,2032028,63.90%,2083,16013,13.01,13.01%,16355,504268,3.24,3.24%,705983,11075,1.57,1.57%,7584,9031,758,8,164453,0,87,0,0,164453,13316,13969,653,332,479,147,839,451,12533,25273,12740,63.9,,33867
Leila and Joanna Share Both Sides of Their Love Story,z-US7cqcLlg,Both Sides,9.07,8/23/2017,"171,803",431,398.61,0.2509%,5.1,879462,56.46%,6,13,46.15,46.15%,15,2694,0.56,0.56%,111458,2648,2.38,2.38%,85978,102305,442,3,65305,0,38,0,0,65305,4224,4313,89,85,117,32,536,118,1133,2736,1603,56.46,,14658
Women Tell Their First Period Stories,2S66OWbzXcI,Firsts,3.07,8/29/2017,"112,099",126,889.67,0.1124%,1.9,215123,62.58%,58,2117,2.74,2.74%,2118,72598,2.92,2.92%,79266,2316,2.92,2.92%,4934,5117,90,0,26549,0,0,0,0,26549,2233,2290,57,21,42,21,56,110,550,1923,1373,62.58,,3585
College Student Opens Up About Depression And Anxiety,t2ZTi5NIkc8,Humans Being,9.27,9/1/2017,"178,242",892,199.82,0.5004%,4.3,766107,46.38%,6,27,22.22,22.22%,23,4090,0.56,0.56%,59125,527,0.89,0.89%,87980,100634,327,13,77714,0.02,0,0,0,77714,9138,9455,317,39,78,39,1274,393,5588,9344,3756,46.38,,12768
Tinder Couple Reflects On Their Two Year Relationship,0TjNjTsov9g,Candid Confession,7.33,9/5/2017,"1,479,309","5,723",258.48,0.3869%,4.8,7078012,65.25%,131,13180,0.99,0.99%,12847,991941,1.3,1.30%,1262559,42013,3.33,3.33%,797206,932523,2506,64,491889,0.01,0,0,0,491889,42061,43291,1230,203,482,279,10539,1139,15771,29486,13715,65.25,,117967
